confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
7,0,0
7,0,1
7,0,1
9,0,1
9,0,1
9,0,6
9,0,10
10,0,10
12,0,10
12,0,16
12,0,23
12,0,23
12,0,24
12,0,30
12,0,30
14,0,52
14,0,58
14,0,58
14,0,58
14,0,66
14,0,66
14,0,79
14,0,84
14,0,93
14,0,102
14,0,123
14,0,128
15,0,138
15,0,159
15,0,162
18,0,165
18,0,166
18,0,201
19,0,232
20,0,249
20,0,271
20,0,271
21,0,336
21,0,381
21,0,403
21,0,490
21,0,490
21,0,562
21,0,562
21,0,622
21,0,653
21,0,655
21,0,671
21,0,671
21,0,690
22,0,690
22,0,690
22,0,691
22,0,691
22,0,769
22,0,769
22,0,772
22,0,772
22,0,782
22,0,785
23,0,791
23,0,791
23,0,794
23,0,801
23,0,801
23,0,829
23,0,829
23,0,829
23,0,829
23,0,871
23,0,871
23,0,871
23,0,871
23,0,871
23,0,912
23,0,912
23,0,913
23,0,921
23,0,921
23,0,928
23,0,928
23,0,953
23,0,953
23,0,953
23,0,953
23,0,953
23,0,953
23,0,953
23,0,1047
23,0,1047
23,0,1047
23,0,1047
23,0,1047
23,0,1047
23,0,1047
23,0,1425
23,0,1577
23,0,1644
23,0,1707
23,0,1707
23,0,1707
23,0,1874
23,0,1902
23,0,1946
23,0,2003
23,0,2063
23,0,2095
