confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
8,0,0
8,0,0
9,0,0
9,0,0
15,0,0
18,0,0
18,0,0
18,0,0
33,0,0
33,0,0
36,0,0
36,0,0
38,0,0
38,0,0
38,0,0
38,0,0
43,0,0
43,0,0
43,0,0
46,0,0
50,0,6
50,0,6
50,0,6
50,0,6
50,0,10
52,0,10
52,0,10
53,1,10
73,1,10
73,1,12
205,1,12
205,1,21
257,1,21
257,1,21
257,1,29
413,1,37
413,1,43
475,2,54
564,2,54
594,2,54
641,3,58
726,3,67
761,3,72
820,3,72
836,3,97
913,3,97
913,3,97
969,4,106
990,4,141
1032,4,148
1038,6,167
1089,6,205
1109,6,205
1114,6,230
1114,6,241
1114,6,241
1178,7,293
1178,7,297
1195,7,297
1195,8,361
1256,8,386
1256,8,415
1256,8,454
1339,8,475
1339,8,480
1339,8,491
1339,8,491
1368,12,580
1368,12,600
1368,12,608
1389,12,611
1389,12,621
1389,12,637
1389,12,642
1460,15,648
1460,15,670
1460,15,680
1492,15,683
1492,15,686
1492,15,707
1492,15,710
1541,17,732
1541,17,746
1541,17,788
1556,19,788
1556,19,853
1556,19,869
1556,19,869
1614,22,914
1614,22,937
1614,22,943
1654,24,961
1654,24,974
1654,24,999
1654,24,1007
1765,25,1042
1765,25,1051
1765,25,1062
1790,25,1086
1790,25,1088
1790,25,1122
1790,25,1123
1842,26,1133
