confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,2
0,0,8
0,0,8
0,0,8
0,0,8
0,0,11
0,0,11
2,0,15
2,0,15
2,0,29
6,0,29
7,0,30
8,0,31
8,0,35
8,0,46
8,0,59
15,0,64
15,0,75
15,0,81
16,0,103
16,0,112
18,0,134
20,0,150
21,1,164
24,1,192
25,1,204
27,1,222
30,2,252
31,2,282
33,2,286
33,3,359
40,3,380
40,3,426
41,3,446
41,3,548
43,3,607
44,3,631
47,3,686
57,3,747
57,3,842
62,4,913
72,5,960
72,5,1002
72,6,1042
74,6,1107
76,6,1151
76,6,1254
76,6,1391
81,8,1522
85,8,1591
85,8,1665
88,9,1876
100,11,1954
101,12,2197
101,12,2317
129,12,2381
146,12,2494
151,12,2607
182,15,2698
209,16,2881
209,16,3063
234,18,3287
273,20,3518
310,20,3803
358,20,3911
456,20,4129
533,21,4324
533,21,4467
596,22,4575
734,25,4838
812,25,5057
865,26,5249
865,26,5402
958,27,5642
1174,33,5877
1320,34,6057
1320,34,6240
1584,35,6492
1865,41,7015
2124,44,7308
2226,45,7637
2226,45,7935
2507,48,8406
2640,50,8892
2740,50,9443
3072,50,9907
3334,51,10498
3538,54,10904
3662,56,11414
3796,58,12129
3941,64,12636
3941,64,13213
4165,70,13776
4165,70,14531
4441,76,15123
4547,80,15703
4688,82,16243
4916,84,16798
4980,87,17349
5077,88,17883
5077,88,18404
5211,88,18735
5324,89,19241
5429,92,19658
5543,96,20449
5722,98,21333
5777,100,21909
5777,100,22936
5933,105,23800
5975,105,24806
6040,107,25595
6101,110,26667
6230,110,27568
6294,113,28219
6333,113,29105
6371,113,29919
6432,117,30785
6486,123,31585
6486,123,32651
6617,135,33529
