confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,49
0,0,49
0,0,73
0,0,123
0,0,175
0,0,291
0,0,291
0,0,552
0,0,739
1,0,913
1,0,1669
1,0,2134
1,0,2394
1,0,2731
1,0,2959
1,0,2959
1,0,2959
1,0,2959
1,0,4590
1,0,4590
1,0,5389
1,0,5389
1,0,5710
1,0,6745
1,0,7635
1,0,7931
1,0,7931
4,0,8913
4,0,9625
4,0,10457
4,0,11133
6,0,11679
6,0,12391
6,0,13911
6,0,14656
6,0,15473
7,0,16711
7,0,17935
7,0,19736
7,0,19736
7,0,24236
7,0,27039
8,0,29812
8,0,32309
8,0,35465
8,0,41947
8,0,43894
8,0,45983
8,0,48129
8,0,49933
8,0,52229
8,0,54064
8,0,55987
8,0,57023
9,0,59273
9,0,60965
9,0,63113
9,0,64843
9,0,66599
9,0,68193
9,0,69657
9,0,70933
10,0,72439
10,0,73791
11,0,75103
11,0,76318
11,0,77350
11,0,78422
11,0,79379
11,0,80475
12,0,81587
12,0,82744
12,0,83837
12,0,85064
12,0,86143
12,0,87422
12,0,88357
12,0,89428
12,0,90539
12,0,91836
12,0,93147
12,0,94464
12,0,95661
12,0,97173
12,0,98808
12,0,100564
12,0,102276
12,0,104072
12,0,105801
12,0,107713
12,0,109437
12,0,111176
12,0,112988
12,0,114931
12,0,116827
12,0,118848
12,0,121004
12,0,123077
12,0,125206
12,0,127485
12,0,129741
12,0,132038
12,0,134349
12,0,136360
12,0,138457
12,0,140590
12,0,142663
12,0,144649
12,0,146748
12,0,148674
12,0,150590
12,0,152675
12,0,154812
12,0,156991
12,0,159192
12,0,161384
12,0,163591
12,0,166427
12,0,169160
12,0,172096
12,0,175103
12,0,177852
12,0,180661
12,0,183310
12,0,186180
12,0,188758
12,0,191487
12,0,194098
12,0,196446
12,0,198949
12,0,201330
12,0,204083
12,0,207000
12,0,209463
12,0,212176
12,0,215015
