confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
4,0,0
7,0,0
9,0,0
9,0,0
13,0,0
13,0,0
19,0,0
30,0,0
32,1,0
39,1,0
50,1,5
58,1,5
73,1,5
85,3,5
103,4,5
131,6,5
167,7,5
187,9,5
226,10,5
261,10,5
300,10,5
343,11,5
408,13,5
447,15,5
492,16,5
525,20,5
585,21,5
623,26,5
678,32,25
733,34,25
744,38,25
817,47,25
895,58,25
980,66,25
1190,77,25
1310,85,25
1410,99,25
1458,109,25
1512,122,25
1579,134,77
1652,142,77
1763,156,77
1834,172,77
1916,189,77
1984,199,77
2098,213,9233
2168,225,9233
2284,239,9233
2443,262,9233
2443,262,9233
2500,272,9233
2583,280,9233
2649,291,9233
2727,300,13386
2775,312,13386
2863,323,13386
2942,335,13386
2998,340,13386
3035,351,13386
3065,363,13386
3111,373,17110
3150,383,17110
3178,392,17110
3213,405,17110
3263,413,17110
3284,421,17110
3313,425,17110
3341,430,19470
3380,436,19470
3417,442,19470
3473,448,19470
3509,451,19470
3535,462,19470
3556,467,19470
3598,470,21060
3641,473,21060
3678,476,21060
3713,482,21060
3741,486,21060
3756,491,21060
3771,499,21060
3793,505,22089
3816,509,22089
3841,517,22089
3867,524,22089
3876,526,22089
3892,527,22089
3921,532,22089
3931,534,22698
3954,539,22698
3970,542,22698
3990,545,22698
4008,546,22698
4014,548,22698
4017,550,22698
4027,551,22698
4039,553,22698
4053,555,22698
4064,559,22698
4069,562,22698
4076,563,22698
4077,565,22698
4078,567,22698
4079,568,22698
4081,568,22698
4086,570,22698
4094,570,22698
4102,572,22698
4107,573,22698
4114,576,23364
4123,577,23364
4127,578,23364
4138,578,23364
4142,581,23364
4145,585,23364
4155,585,23364
4157,586,23364
4166,587,23364
4172,588,23364
4174,589,23364
4183,589,23364
4189,589,23364
4205,589,23364
4210,589,23364
4220,591,23364
4223,593,23364
