confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
6,0,0
19,0,0
27,0,0
34,1,0
34,1,0
69,4,0
96,5,0
117,5,0
134,5,2
172,5,2
227,19,2
311,25,2
369,32,2
450,38,2
514,48,2
579,49,2
686,55,2
790,58,2
893,78,2
1046,87,2
1155,102,2
1285,114,2
1414,122,2
1528,136,2
1677,157,2
1790,170,2
1986,181,2
2092,191,7
2273,198,8
2491,209,8
2738,221,8
2956,240,10
3293,280,12
3512,306,13
3842,327,13
4241,373,13
4557,399,19
4839,459,19
5136,469,21
5516,496,21
5923,520,25
6248,535,25
6575,582,27
6760,590,27
7135,616,27
7418,635,27
7775,647,28
8211,689,28
8607,720,28
8882,743,28
9096,765,29
9511,773,29
9771,784,29
10118,792,29
10551,800,31
10843,831,33
11192,845,38
11587,864,38
12071,872,56
12438,895,57
12776,930,58
13112,943,62
13645,959,62
14032,973,90
14265,991,90
14749,1007,100
15438,1028,113
16006,1043,118
16496,1076,121
17025,1089,121
17514,1148,127
18010,1191,131
18496,1221,145
19189,1242,171
20162,1278,181
20796,1326,191
21745,1351,200
22271,1372,211
22750,1391,238
23165,1418,267
23851,1473,279
24538,1496,284
25216,1520,289
25773,1573,290
26473,1613,311
26940,1641,322
27549,1663,356
28233,1698,361
28818,1721,368
29521,1770,385
30514,1801,404
31186,1851,405
32033,1883,405
33076,1923,405
34316,1959,407
35295,2000,408
36406,2048,417
37420,2091,420
38277,2134,420
39294,2198,430
40400,2231,449
41431,2276,451
42762,2339,458
43803,2373,458
45029,2429,462
45891,2465,516
46845,2500,516
47896,2535,518
49009,2573,521
50187,2620,526
51427,2683,539
52812,2720,552
54010,2754,552
55092,2805,553
56385,2876,553
57770,2934,555
59394,2987,560
60695,3036,565
62142,3089,569
63749,3171,584
64958,3241,591
66226,3309,599
68079,3359,600
70736,3417,603
72347,3469,605
