confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,4
0,0,9
0,0,9
0,0,9
0,0,9
0,0,12
0,0,12
0,0,12
0,0,13
2,2,18
5,2,18
18,4,22
28,5,22
43,8,22
61,12,22
95,16,22
139,19,22
245,26,22
388,34,22
593,43,32
978,54,32
1501,66,32
2336,77,43
2922,92,43
3513,107,43
4747,124,46
5823,145,76
6566,194,76
7161,237,76
8042,291,101
9000,354,118
10075,429,118
11364,514,118
12729,611,118
13938,724,118
14991,853,144
16169,988,144
17361,1135,144
18407,1284,150
19644,1433,191
20610,1556,232
21638,1685,235
23049,1812,235
24811,1934,285
27017,2077,310
29406,2234,359
32332,2378,372
35408,2517,404
38309,2640,424
41495,2757,424
44605,2898,424
47593,3036,472
50468,3160,472
53183,3294,514
55743,3452,514
58226,3603,514
60500,3739,575
62589,3872,592
64586,3993,622
66220,4110,632
68192,4232,685
70029,4357,762
71686,4474,762
73303,4585,784
74877,4683,799
76389,4777,853
77995,4869,901
79494,4958,935
80868,5031,1069
82211,5118,1159
83505,5209,1159
84802,5297,1239
85996,5391,1356
87026,5481,1494
88194,5574,1530
89328,5650,1656
90481,5710,1809
91472,5806,1899
92584,5877,1899
93657,5957,2368
94640,6028,2460
95646,6091,2975
96448,6156,3205
97424,6203,3981
98647,6277,4156
99970,6340,4496
101650,6418,4496
103135,6486,4918
104691,6541,5146
106220,6589,5906
107603,6640,8127
109286,6685,8293
110767,6733,8531
112725,6783,8920
114533,6854,9868
116635,6902,10338
118392,6937,10338
120198,6988,11153
122492,7057,11564
124603,7119,11564
126949,7183,11564
129341,7249,12672
131652,7300,13005
133521,7359,13244
135701,7417,13413
137724,7451,13612
139511,7508,13810
141591,7564,13973
143849,7627,14096
146668,7677,14213
148950,7734,14267
151466,7797,14342
154445,7878,14463
157562,7942,14585
160696,8012,14702
164270,8071,14785
167156,8134,14925
169425,8209,14927
171789,8281,14990
173832,8351,15043
175927,8425,15141
177938,8506,15217
180156,8584,15233
182525,8659,15362
184955,8730,15458
187427,8837,15514
189876,8950,15567
192439,9065,15652
195051,9185,15753
197647,9272,15753
200262,9392,15844
202584,9507,15948
204952,9623,15948
207525,9742,15957
209970,9863,16096
212501,9996,16101
215096,10130,16142
217724,10239,16224
220180,10364,16293
222669,10508,16327
225205,10670,16388
227662,10817,16458
230211,10958,16563
232863,11106,16615
235429,11260,16721
237878,11408,16832
240438,11571,16870
243051,11731,17007
245688,11931,17057
248379,12084,17057
250458,12305,17412
252720,12447,17494
