confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
5,0,0
7,0,0
7,0,0
13,0,0
19,0,0
26,0,0
32,0,0
35,2,0
35,2,0
40,3,0
54,4,0
60,6,0
60,6,0
71,7,0
71,7,0
71,8,0
101,9,1
110,10,1
116,10,1
124,10,1
154,11,1
164,12,1
192,13,1
208,17,1
214,17,1
233,20,1
266,23,1
316,27,1
346,29,1
382,36,1
458,40,18
506,42,18
547,42,18
630,46,26
694,50,30
728,52,36
772,54,45
820,54,58
878,56,74
961,61,110
1031,64,126
1122,65,138
1202,69,150
1232,69,161
1279,70,170
1318,72,177
1352,76,201
1378,78,215
1400,78,235
1415,79,250
1434,80,259
1482,81,265
1513,82,269
1539,82,276
1574,82,282
1602,83,297
1631,83,315
1677,83,318
1708,86,326
1763,86,332
1820,87,337
1847,88,342
1928,90,348
2003,92,356
2085,93,362
2153,94,364
2219,95,367
2296,97,367
2346,98,370
2431,102,375
2480,102,377
2543,102,381
2603,104,385
2679,107,387
2767,109,389
2818,110,390
2913,112,390
3032,115,392
3143,115,393
3193,117,401
3260,121,404
3404,123,408
3554,127,413
3611,131,417
3724,134,446
3877,140,457
3964,147,461
4272,152,470
4469,160,471
4632,163,479
4848,169,586
5135,175,586
5457,179,497
5873,185,507
6179,195,507
6439,205,522
6868,215,535
7387,235,549
8168,256,561
8840,271,566
9846,285,571
11098,318,586
12366,346,607
13481,370,627
14268,392,657
15414,426,663
16675,457,670
17770,496,671
18950,549,678
20209,607,682
21315,652,692
22700,712,693
24254,773,693
25717,856,697
27352,925,708
29222,1013,722
30868,1100,739
32676,1167,751
34502,1251,772
36702,1330,782
39139,1437,797
41193,1559,830
43262,1660,841
45402,1756,860
47151,1839,867
49109,1943,882
51524,2050,886
53708,2160,889
56020,2262,897
58354,2368,902
60479,2473,942
62275,2567,957
64701,2685,969
67442,2779,977
69612,2882,982
72460,2960,986
