confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,1
3,0,1
3,0,3
3,0,3
3,0,3
3,0,7
3,0,7
3,0,7
3,0,9
3,0,9
3,0,10
3,0,12
3,0,12
3,0,16
20,1,16
62,2,16
155,3,18
229,7,18
322,10,22
453,12,22
655,17,22
888,21,22
1128,29,27
1694,34,30
2036,52,30
2502,79,30
3089,107,41
3858,148,41
4636,197,135
5883,233,135
7375,366,118
9172,463,118
10149,631,247
12462,827,288
15113,1016,333
17660,1266,510
21157,1441,510
24747,1809,510
27980,2158,1137
31506,2503,1407
35713,2978,1540
41035,3405,1540
47021,4032,1540
53578,4825,1540
59138,5476,2909
63927,6077,2909
69176,6820,3507
74386,7503,3730
80589,8215,4144
86498,9134,4528
92472,10023,4811
97689,10779,5033
101739,11591,5228
105792,12428,5408
110574,13155,5567
115242,13915,5828
119827,14681,6021
124632,15362,6325
128948,15887,6463
132547,16523,6598
135586,17127,6694
139422,17669,6776
143626,18279,6973
147577,18849,7117
152271,19468,7243
156363,19899,7368
159516,20465,7447
162488,21067,7534
165155,21645,7616
168941,22170,7757
172434,22745,7829
175925,23227,7937
178972,23660,8042
181228,24114,8114
183957,24648,8213
187327,25085,8277
189973,25549,8501
192994,25969,8635
195351,26384,8717
197675,26644,8764
199414,26977,8854
201505,27359,8922
203591,27682,9059
205463,27967,9072
207428,28236,9123
209328,28710,9183
210717,28884,9217
211938,29079,9283
213013,29315,9333
214457,29684,9419
215858,29958,9484
217185,30201,9568
218268,30395,9610
219070,30560,9632
219814,30739,9670
221216,30911,9695
222104,31106,9762
223096,31368,9821
223885,31610,9851
224760,31763,9888
225435,31908,9904
225886,32007,9938
226699,32169,10066
227364,32330,10135
228006,32486,10162
228658,32616,10194
229327,32735,10213
229858,32785,10226
230158,32877,10275
230555,32955,10295
231139,33072,10340
231732,33142,10363
232248,33229,10398
232664,33340,10405
232997,33415,10422
233197,33475,10446
233515,33530,10467
233836,33601,10499
234013,33689,10506
234531,33774,10531
234801,33846,10552
234998,33899,10563
235278,33964,10589
235561,34043,10611
235763,34114,10654
236142,34167,10669
236305,34223,10691
236651,34301,10718
236989,34345,10730
237290,34371,10760
237500,34405,10774
237828,34448,10800
238159,34514,10835
238011,34561,10856
238275,34610,10868
238499,34634,10881
238720,34657,10908
238833,34675,10930
239410,34644,10974
239706,34678,11172
239961,34708,11317
240136,34716,11364
240310,34738,11429
240436,34744,11537
240578,34767,11613
240760,34788,11684
240961,34818,11759
241184,34833,11811
241419,34854,11832
241611,34861,11848
241819,34869,11914
241956,34899,11970
242149,34914,12019
242363,34926,12065
242639,34938,12144
