confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
8,0,1
17,0,1
34,0,1
52,0,1
69,0,1
85,0,1
85,0,1
112,0,1
127,0,1
154,0,1
172,0,1
212,0,1
235,1,1
246,1,1
259,3,1
268,5,1
274,5,1
278,5,1
299,5,31
310,5,1
323,5,1
345,5,1
349,6,16
353,6,16
358,6,16
372,7,16
372,7,16
381,7,16
389,7,16
391,7,16
397,7,16
401,7,44
402,7,57
407,7,88
413,7,88
417,7,88
425,7,88
428,7,133
435,7,133
437,7,133
441,7,267
444,7,267
447,7,267
449,7,267
449,8,267
451,8,348
453,8,348
459,8,348
460,9,348
461,9,348
465,9,348
471,9,348
473,9,464
494,9,464
508,9,464
522,9,464
540,9,464
562,9,464
576,9,627
582,9,627
586,9,627
596,9,662
607,9,662
613,9,662
629,9,662
649,9,694
672,9,694
684,9,694
700,9,712
704,9,712
708,9,712
711,9,712
718,9,741
720,9,741
728,9,741
730,9,745
734,9,745
739,9,745
746,9,745
755,9,760
757,9,760
765,9,760
784,9,781
795,9,781
808,9,781
831,9,781
845,9,794
863,9,794
890,9,818
915,9,818
953,9,845
961,9,845
979,9,845
981,9,875
987,9,875
1001,9,903
1008,9,903
1015,9,903
1033,9,903
1042,9,903
1047,9,903
1071,9,903
1086,9,903
1104,9,932
1111,9,932
1121,9,932
1128,9,932
1132,9,974
1133,9,974
1136,9,988
1147,10,997
1150,10,1000
1164,10,1000
1167,10,1000
1169,10,1008
1169,10,1008
1169,10,1019
1173,10,1019
