confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
4,0,1
6,0,1
9,0,1
10,0,1
33,0,3
35,0,3
44,0,4
49,3,4
53,0,4
60,0,8
62,0,8
72,0,8
81,0,20
111,1,23
150,1,27
228,1,30
284,1,30
302,1,35
343,2,37
380,3,43
435,3,46
464,6,50
531,5,54
584,6,54
662,6,60
697,6,62
727,7,62
781,8,67
812,10,76
865,10,77
951,10,80
1091,12,80
1232,14,80
1295,16,85
1402,17,86
1546,17,86
1615,17,99
1676,17,102
1852,19,103
1995,19,108
2135,19,113
2289,20,140
2482,25,140
2601,25,143
2717,25,145
2835,25,145
3027,25,145
3138,25,150
3402,25,150
3597,25,192
3857,25,197
3920,27,200
4049,29,200
4205,29,206
4422,30,206
4578,30,220
4834,31,223
4975,31,234
5090,31,234
5207,32,234
5279,32,234
5417,32,236
5571,32,236
5689,34,246
5850,34,247
6157,34,247
6751,35,251
6751,35,251
6969,35,251
7234,35,663
7919,35,663
7919,35,667
8531,35,688
8969,35,688
8969,37,689
9304,37,692
9576,37,699
9932,37,705
10382,38,708
10858,40,712
11308,41,715
11571,44,719
12067,48,724
12067,52,731
12312,52,768
12511,53,768
12694,56,768
12859,56,779
13074,61,795
13319,67,832
13872,67,845
13872,70,853
14238,73,868
14496,77,868
15192,81,875
15542,88,889
15877,97,907
15877,100,944
16779,113,960
17225,118,1006
17732,120,1068
18231,127,1077
18765,134,1098
19285,136,1103
19750,140,1144
20319,150,1144
20319,166,1153
21327,178,1153
21819,188,1170
22308,188,1183
41065,188,1223
42574,188,1242
45719,188,1292
47171,188,1304
48574,188,1311
49683,264,1311
51059,264,1348
51059,264,1368
54747,264,1368
56455,264,1402
