confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
3,0,0
7,0,0
7,0,0
7,0,0
15,0,0
16,0,0
25,0,0
28,0,0
31,1,0
31,1,0
38,1,0
42,1,0
50,1,0
59,1,0
81,1,0
110,3,0
122,4,0
126,4,3
142,4,3
158,6,3
172,6,3
179,6,3
184,7,3
189,7,3
191,7,3
197,8,3
208,9,4
216,9,4
225,10,4
234,11,4
246,11,7
262,12,7
270,14,7
281,14,7
296,14,7
303,14,20
320,14,20
336,14,25
343,14,25
355,14,25
363,14,25
374,14,45
384,15,45
396,17,45
411,21,45
435,22,48
465,24,58
490,24,58
535,24,58
582,26,75
607,29,79
621,29,79
649,30,79
672,32,79
700,33,85
715,36,85
737,40,101
758,42,105
781,45,108
830,50,116
887,50,120
912,50,123
963,50,125
1029,50,128
1109,50,131
1161,50,136
1192,50,136
1214,51,139
1286,52,141
1348,52,144
1471,55,144
1618,58,144
1745,62,146
1888,63,148
1962,64,157
2021,69,159
2093,71,167
2216,74,169
2340,78,175
2474,79,176
2600,83,185
2767,84,194
2872,85,195
2989,88,199
3094,89,200
3215,92,206
3305,96,210
3457,100,214
3594,103,219
3727,104,221
3860,105,222
4044,107,240
4257,117,250
4374,119,250
4478,121,254
4738,123,254
4797,125,260
4952,128,270
5206,130,270
5384,132,278
5533,137,285
5811,141,291
6070,143,298
6190,144,312
6366,148,324
6673,149,335
6941,152,338
7188,154,346
7577,159,369
7886,160,377
8067,164,377
8250,167,394
8528,169,395
8975,173,398
9448,181,400
