confirmed,death,recover
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
4,0,0
4,0,0
4,0,0
4,0,0
11,0,0
12,0,0
15,0,0
15,0,0
16,0,0
19,0,0
23,0,0
24,0,0
24,0,0
25,0,0
27,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
30,0,0
31,0,0
31,0,0
104,1,0
204,2,0
433,2,0
602,6,0
833,8,0
977,10,0
1261,12,0
1766,13,0
2337,13,0
3150,16,0
3736,17,0
4335,28,0
5186,28,0
5621,35,0
6088,35,0
6593,42,0
7041,44,0
7314,50,0
7478,53,0
7513,54,0
7755,60,0
7869,66,0
7979,66,0
8086,72,0
8162,75,0
8236,75,0
8320,81,0
8413,84,0
8565,91,0
8652,94,0
8799,102,0
8961,111,0
8961,111,0
9037,120,0
9137,126,0
9241,131,0
9332,139,0
9478,144,0
9583,152,0
9661,158,0
9786,162,1
9887,165,0
9976,169,0
10062,174,0
10156,177,0
10237,183,0
10284,186,1
10331,192,1
10384,200,8
10423,204,8
10450,208,8
10480,211,8
10512,214,9
10537,217,9
10564,222,9
10591,225,9
10613,229,11
10635,230,11
10653,232,11
10661,234,11
10674,236,15
10683,237,15
10694,238,15
10708,240,15
10718,240,18
10728,242,18
10738,243,18
10752,244,18
10761,246,18
10765,247,18
10774,248,18
10780,250,18
10793,250,22
10801,252,22
10804,254,23
10806,255,23
10810,256,24
10822,256,24
10840,256,24
10874,256,24
10909,256,24
10936,258,28
10962,259,28
10991,260,28
11018,260,28
11037,262,28
11050,262,28
11065,263,35
11078,263,35
11110,263,35
11122,264,35
11142,264,35
11165,266,38
11190,266,39
11206,267,39
11225,269,40
11265,269,40
11344,269,40
11402,269,41
11441,269,41
11468,270,50
11503,271,52
11541,272,52
11590,273,52
11629,273,52
11668,273,52
11719,273,52
11776,273,52
11814,273,52
11852,274,57
11902,276,58
11947,276,59
12003,277,59
12051,277,59
12085,277,62
12121,277,63
12155,278,70
12198,279,76
12257,280,78
12306,280,81
12373,280,83
12421,280,98
12438,280,103
12484,281,116
12535,281,132
12563,282,138
12602,282,140
12653,282,142
12715,282,171
12757,282,196
12800,282,206
12850,282,209
12904,282,223
12967,282,224
13030,283,230
13091,283,258
13137,284,261
13181,285,269
13244,285,295
13293,287,306
13338,288,307
13373,288,307
