confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
11,0,0
26,0,0
43,0,0
45,0,0
45,0,0
45,0,0
56,0,0
56,0,0
56,0,0
58,0,0
58,0,0
61,0,0
64,0,0
64,0,0
69,0,0
72,0,0
80,0,0
80,0,0
104,0,0
112,0,0
123,0,0
130,0,0
142,0,0
148,0,0
159,0,0
176,0,0
188,0,0
189,0,0
191,0,0
195,0,0
208,0,0
225,0,0
235,0,0
255,0,0
266,0,0
289,0,0
317,0,0
342,0,0
417,0,0
479,1,0
556,1,0
665,1,55
743,1,55
855,1,55
910,1,55
993,1,55
1154,1,55
1234,1,55
1300,2,55
1355,3,55
1405,3,55
1524,3,55
1658,5,55
1751,6,55
1915,7,55
1995,9,55
2080,11,55
2248,13,55
2399,14,55
2614,15,55
2892,19,55
3075,20,55
3288,22,55
3440,23,55
3740,24,55
4024,26,55
4377,30,55
4619,33,55
4983,38,55
5278,40,55
5804,40,55
6289,42,55
6567,44,55
7208,47,55
7623,49,55
8688,58,55
9286,65,55
10277,75,55
11028,82,55
11975,88,55
12860,96,55
13802,107,55
14850,112,55
15691,118,55
16764,121,55
17568,124,55
18609,129,55
19564,138,55
20464,148,55
21302,156,55
21967,165,55
22575,172,55
23267,175,55
24112,185,55
25184,194,55
26192,205,55
27043,212,55
27762,220,55
28649,226,55
29359,230,55
29921,236,55
30644,244,55
31131,254,55
31848,264,55
32510,269,55
33140,273,55
33823,275,55
34432,279,55
34952,285,55
35466,289,55
35920,296,55
36431,298,55
36958,303,55
37533,306,55
38074,308,55
38678,313,55
39145,319,55
39650,326,55
40291,330,69
41033,334,72
41879,337,81
42788,339,81
43703,341,81
44391,344,81
44942,348,81
45524,350,81
46195,354,81
46940,358,81
47859,359,81
48672,360,81
49303,365,81
49941,368,81
50644,373,81
51245,377,81
52007,379,81
52840,382,81
53580,383,81
