confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
6,0,0
8,0,0
10,0,0
10,0,0
17,0,0
26,0,0
30,0,0
34,0,0
49,0,0
71,0,0
86,0,0
111,0,0
124,0,0
139,0,6
180,0,6
197,0,6
221,0,6
244,0,6
280,0,40
305,0,40
347,0,40
376,0,40
398,0,80
446,0,80
458,0,80
493,1,500
509,1,500
533,1,500
542,1,500
548,2,500
577,2,500
589,3,500
612,3,500
630,3,500
651,5,500
655,5,500
657,5,500
666,5,526
675,5,552
682,5,579
712,5,601
727,5,627
739,5,637
748,9,670
761,11,711
778,11,728
784,12,3007
804,12,3088
812,12,3104
818,13,3123
836,13,3123
849,15,3134
858,15,3213
870,16,3213
871,16,3318
879,16,3379
896,16,3405
896,17,3412
900,17,3452
909,18,3505
928,18,3526
930,18,3550
939,18,3586
946,18,3602
950,18,3610
951,19,3629
962,19,3665
970,19,3682
997,19,3699
1008,19,3702
1009,19,3715
1012,21,3718
1016,21,3728
1025,22,3741
1030,22,3748
1046,22,3758
1047,22,3767
1049,22,3781
1053,22,3783
1057,23,3791
1061,24,3803
1064,24,3815
1065,24,3815
1066,24,3833
1066,24,3845
1071,24,3848
1079,24,3861
1082,25,3874
1085,25,3885
1086,25,3888
1088,25,3899
1088,26,3901
1089,26,3902
1092,26,3904
1094,26,3910
1096,27,3918
1097,28,3922
1097,28,3929
1097,28,3931
1098,28,3933
1104,30,3935
1108,30,3940
1110,30,3944
1111,30,3951
1111,30,3956
1111,30,3959
1111,30,3959
1111,30,3965
1111,30,3968
1112,30,3968
1115,30,3978
1116,30,3978
1117,30,3997
1118,30,3998
1121,30,4003
1122,30,4012
1122,30,4016
1123,30,4016
1124,30,4016
1127,30,4016
1134,30,4056
1141,30,4056
1154,30,4056
1165,30,4086
