confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
4,0,0
4,0,0
7,0,0
28,0,0
28,0,0
28,0,0
37,0,0
37,0,0
51,0,0
51,0,5
51,0,8
56,0,8
56,0,9
56,0,9
56,0,13
62,0,13
68,0,13
68,0,13
75,0,13
75,0,13
77,1,13
77,1,13
77,1,13
78,1,13
78,1,13
78,1,13
79,1,13
79,1,13
79,1,14
79,1,14
79,1,16
79,1,16
79,1,16
79,1,16
79,1,16
81,1,16
81,1,16
81,1,16
81,1,16
81,1,16
81,1,16
81,1,17
82,1,17
82,1,17
82,1,17
82,1,17
82,1,17
82,1,17
82,1,18
82,1,18
82,1,18
82,1,20
82,1,20
82,1,20
82,1,20
82,1,29
82,1,29
82,1,29
82,1,29
82,1,40
82,1,45
82,1,49
82,1,58
82,1,58
82,1,58
82,1,91
82,1,91
82,1,91
82,1,109
82,1,128
82,1,144
82,1,155
82,1,197
82,1,197
82,1,197
82,1,197
82,1,406
82,1,453
82,1,488
82,1,608
82,1,644
82,1,648
82,1,717
82,1,763
82,1,827
82,1,925
82,1,1010
82,1,1121
82,1,1153
82,1,1193
82,1,1217
82,1,1311
82,1,1540
82,1,1670
82,1,1677
82,1,1677
82,1,1769
82,1,1788
82,1,1803
83,1,1813
86,2,1813
82,1,1839
82,1,1848
82,1,1863
82,1,1875
82,1,1911
82,1,1927
82,1,1944
82,1,1954
83,1,1969
83,1,1976
83,1,1976
83,1,2049
84,1,2113
84,1,2158
84,1,2180
84,1,2227
84,1,2238
