confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
3,0,0
5,0,0
7,0,0
19,0,0
34,0,1
51,1,1
59,1,1
77,1,2
140,1,2
203,2,2
335,4,2
484,4,2
670,8,2
798,8,2
875,8,2
1099,8,2
1333,8,2
1453,9,2
1605,15,2
1831,18,2
1950,21,2
1988,22,2
2178,23,2
2319,29,2
2487,30,2
2612,31,2
2729,31,2
2804,36,5
2843,41,5
2970,44,5
3034,46,16
3115,52,16
3223,54,16
3270,62,16
3281,66,44
3292,69,44
3307,67,44
3373,69,44
3444,69,82
3480,72,91
3537,72,99
3550,73,118
3558,75,126
3618,78,150
3654,80,165
3665,83,204
3695,85,223
3711,85,249
3723,88,282
3729,88,286
3741,89,303
3769,89,339
3784,90,351
3802,92,383
3812,92,379
3824,96,392
3828,96,399
3840,96,403
3851,98,407
3859,100,413
3871,100,419
3877,101,427
3886,101,433
3888,101,434
3894,102,434
3904,103,436
3915,103,443
3923,104,458
3930,104,450
3945,107,454
3947,107,456
3958,109,460
3971,109,465
3980,109,468
3981,109,469
3990,109,473
3992,110,476
3993,110,485
3995,110,485
4001,110,491
4008,110,501
4012,110,514
4016,110,525
4018,110,534
4019,110,537
4020,110,554
4024,110,562
4027,110,576
4032,110,583
4035,110,596
4039,110,596
4040,110,596
4046,110,597
4049,110,597
4052,110,600
4055,110,600
4063,110,601
4070,110,603
4072,110,603
4075,110,608
4085,110,610
4091,110,610
4099,110,613
4105,110,616
4120,110,616
4121,110,617
4133,110,618
4140,110,624
4151,110,627
4173,110,632
4217,110,635
4242,110,636
4256,110,639
4299,110,640
4345,110,647
4395,110,649
4447,110,650
4476,110,651
4522,110,652
4542,110,652
4603,110,653
4650,110,654
4719,110,656
4777,110,658
