confirmed,death,recover
0,0,0
0,0,0
0,0,0
3,0,0
4,0,0
4,0,0
4,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
10,0,0
12,0,0
12,0,0
12,0,0
16,0,0
16,0,0
18,0,0
18,0,0
18,0,0
19,0,0
19,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
23,0,0
23,0,0
25,0,0
29,0,0
29,0,0
36,0,0
50,0,0
50,0,0
83,0,0
93,0,0
99,0,0
117,0,0
129,0,0
149,0,0
149,0,0
197,0,0
238,0,0
428,0,0
566,0,0
673,2,0
790,2,0
900,2,0
1030,3,0
1183,4,0
1306,10,0
1518,14,0
1624,16,0
1796,20,0
2031,23,0
2161,26,0
2320,27,0
2470,35,0
2626,37,0
2766,43,0
2908,45,0
3116,50,0
3333,53,0
3483,57,7
3662,61,7
3793,62,7
3963,63,8
4119,65,19
4228,67,23
4346,70,23
4530,73,28
4683,76,42
4817,77,42
4987,82,51
5072,83,65
5182,84,81
5251,86,108
5305,88,180
5389,89,208
5425,89,224
5482,92,243
5532,93,261
5603,95,266
5691,96,285
5742,98,295
5780,98,299
5820,99,302
5851,100,303
5945,100,306
6002,102,310
6071,103,312
6176,103,314
6298,105,315
6353,105,316
6383,106,319
6428,107,320
6467,107,320
6535,107,320
6589,108,320
6656,108,320
6726,109,322
6742,109,322
6779,111,322
6819,112,322
6855,112,322
6872,113,322
6894,113,322
6941,113,322
6978,114,322
7009,114,322
7059,114,322
7137,115,322
7185,115,322
7245,115,322
7417,115,322
7604,115,322
7619,115,322
7629,115,322
7732,115,322
7762,115,322
7819,115,322
7857,115,322
7877,115,322
7970,115,322
8247,115,322
8266,116,324
8303,117,324
8322,117,324
8329,117,324
8336,117,324
8338,118,325
8369,118,325
8402,119,325
8445,120,325
8453,121,325
8494,121,325
8505,121,325
8515,121,325
8529,121,325
8535,121,325
8556,121,326
8572,121,326
8587,121,326
8590,121,326
8596,121,326
8600,121,326
8606,121,326
8616,121,326
8634,121,326
8637,121,326
8639,121,326
8640,121,326
8643,121,330
8648,121,330
8658,121,330
8663,121,330
8668,121,330
8674,121,330
8677,121,330
8683,121,330
8696,121,330
