confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
4,0,1
4,0,1
6,0,4
8,0,4
8,0,4
9,0,4
10,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
16,0,4
16,0,4
17,0,4
17,0,35
18,0,35
19,0,35
19,0,35
19,0,633
19,0,633
19,0,633
19,0,633
19,0,633
19,0,633
19,0,633
19,0,633
19,0,633
20,0,1772
20,0,1843
20,0,1964
22,0,2125
25,0,2125
28,0,2125
35,0,2125
52,0,2627
69,0,2627
83,0,2627
86,0,2627
108,0,2627
129,0,2627
177,0,7149
214,0,8354
226,0,9086
250,0,11423
278,1,11423
468,1,11423
491,1,12377
519,1,12377
527,1,13447
541,1,13447
573,2,16810
617,2,17781
648,3,17781
744,3,20314
790,3,21824
835,3,21824
897,3,23100
904,3,25935
955,4,26990
982,4,28475
1031,4,30451
1078,4,31848
1094,4,33329
1106,4,35388
1143,4,37325
1186,4,38419
1216,4,40152
1274,4,42191
1313,4,44424
1371,4,46979
1395,4,49452
1438,5,51708
1457,5,53834
1513,5,56041
1591,5,59003
1672,5,61247
1773,5,63772
1829,6,66965
1841,7,69749
1850,7,72680
1872,7,74758
1883,7,77841
1901,8,80830
1903,8,83775
1916,8,87633
1942,8,90748
1962,8,93930
1976,8,97198
2003,8,100876
2013,8,104078
2035,8,107298
2065,8,112292
2094,8,115394
2120,8,118504
2137,8,122180
2150,8,126438
2187,8,130854
2203,8,134495
2217,8,139383
2238,8,143646
2261,8,148487
2277,8,152362
2283,8,156827
2305,8,160721
2324,8,164646
2337,8,170147
2361,9,174538
2382,9,178526
2400,10,183757
2410,10,189345
2435,10,195724
2468,11,199914
2491,12,204826
2501,12,209437
2517,13,214316
2553,13,219628
2617,13,225356
