confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
4,0,0
11,0,0
18,0,0
18,1,0
25,2,0
28,2,0
31,3,0
36,3,0
39,3,0
41,3,0
45,5,0
47,5,0
56,5,0
59,7,0
74,7,0
87,7,0
87,7,0
105,9,0
123,10,0
144,13,0
148,13,0
171,13,0
171,13,0
216,13,0
224,14,0
246,14,0
258,14,0
293,17,0
309,21,0
325,21,0
370,21,0
389,23,0
408,23,0
424,24,0
482,25,0
490,26,0
508,26,0
544,26,0
563,27,0
580,29,0
612,32,0
631,32,0
650,32,0
668,35,0
692,37,0
704,38,0
712,39,0
730,40,0
758,44,6
779,46,6
806,46,6
835,48,6
860,52,6
874,52,6
901,53,6
931,55,6
947,60,6
969,62,6
1015,63,6
1030,65,6
1059,67,6
1077,70,6
1116,70,6
1194,72,6
1226,73,6
1250,76,6
1265,77,6
1315,78,7
1351,78,7
1386,79,7
1461,85,7
1485,87,7
1523,90,7
1533,90,7
1547,92,7
1586,94,7
1667,96,7
1722,97,7
1752,101,7
1776,104,7
1809,104,7
1860,104,7
1885,104,7
1890,107,7
1906,107,7
1923,108,7
1933,109,7
1933,109,7
1961,111,7
1978,111,7
2005,112,7
2039,113,7
2060,113,7
2118,113,7
2147,114,7
2173,115,7
2181,116,7
2202,116,7
2260,117,7
2285,117,7
2303,118,7
2330,119,7
2331,119,7
2348,119,7
2358,120,7
2370,120,7
2404,121,7
