confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
3,0,0
5,0,0
6,0,0
6,0,0
12,0,0
18,0,0
21,0,0
30,0,0
38,0,1
38,0,1
53,0,1
64,0,1
73,0,1
90,0,1
107,0,1
110,0,2
129,0,2
134,0,2
139,0,2
149,0,2
151,0,2
156,0,15
169,0,18
188,0,23
196,0,23
202,0,26
213,0,29
227,0,30
241,0,37
293,0,40
299,1,40
337,2,50
350,2,56
370,3,75
378,3,94
384,3,107
393,3,134
399,3,171
412,3,235
422,3,276
426,3,391
427,3,457
431,3,457
443,3,505
444,3,560
445,3,661
447,3,755
448,4,825
448,4,895
450,4,925
458,4,975
463,4,1114
465,4,1182
467,4,1272
468,4,1334
477,4,1382
480,4,1423
482,5,1544
484,5,1658
486,5,1747
489,5,1826
490,5,1925
496,5,1958
503,5,1980
506,5,2069
508,6,2176
522,6,2228
532,6,2228
546,6,2344
553,6,2344
558,6,2425
569,6,2508
584,6,2953
599,6,2953
600,6,3369
609,6,3452
610,6,3713
611,6,3802
611,6,3884
612,7,3884
616,7,4123
616,9,4278
618,9,4455
618,9,4581
619,9,4622
620,9,4738
622,9,4863
622,9,5009
625,9,5240
627,9,5450
629,9,5638
630,9,5738
632,9,5797
635,9,5930
640,9,6072
645,9,6229
646,9,6421
649,9,6623
650,9,6794
656,9,6901
662,9,7077
663,9,7252
663,9,7525
664,9,7745
665,9,7896
665,9,8019
665,9,8212
665,9,8400
668,9,8599
670,9,8765
670,9,8963
670,9,9081
670,9,9229
670,9,9382
671,9,9594
671,9,9846
672,9,10093
672,9,10396
672,9,10718
672,9,11047
673,9,11241
673,9,11549
674,9,11936
674,9,12188
