confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
4,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
7,0,0
7,0,0
7,0,0
8,0,0
12,0,0
26,0,0
41,0,0
53,0,0
82,0,0
93,0,0
118,0,0
164,1,0
203,2,0
251,2,0
316,3,0
367,4,0
405,5,0
475,6,0
585,8,0
717,12,0
848,16,0
993,20,0
1094,28,0
1215,29,0
1378,37,0
1510,50,0
1688,60,1
1890,79,1
2143,94,1
2439,125,1
2785,141,4
3181,174,4
3441,194,4
3844,233,4
4219,273,5
4661,296,5
5014,332,5
5399,406,46
5847,449,55
6297,486,55
6875,546,55
7497,650,55
8261,686,55
8772,712,88
9501,857,101
10544,970,116
11633,1069,123
12872,1221,123
13842,1305,153
14677,1351,153
15529,1434,189
16752,1569,199
17799,1732,203
19224,1859,214
20739,1972,233
22088,2061,245
23471,2154,249
24905,2271,253
26025,2507,253
27634,2704,261
29616,2961,265
31522,3160,267
33460,3353,274
35022,3465,290
36327,3573,294
38324,3926,298
40186,4220,307
42595,4477,309
45032,4767,311
47144,5045,311
49219,5177,311
51633,5332,311
54346,5666,312
56594,6090,312
59567,6510,314
62527,6989,314
65856,7179,314
68620,7394,315
71105,7633,315
74560,8134,315
78023,8597,315
81400,9044,315
84627,9415,315
87512,9779,315
90664,9930,315
93435,10167,315
97326,10637,315
101238,11729,315
105680,12545,315
110026,13170,315
113619,13511,315
117103,13699,315
120102,14053,315
124301,14649,315
129184,15357,315
133974,15944,315
139196,16448,315
142690,16872,315
146837,17141,315
150264,17580,315
154863,18310,315
159793,19080,315
165455,19747,315
170485,20394,315
175202,20781,315
180545,21825,315
185122,22584,315
191410,23377,315
196847,24324,315
202951,25060,315
208392,25779,315
212802,26381,315
216852,26648,315
220657,27121,315
226089,27769,315
231770,28510,315
238511,29189,315
245251,29843,315
252165,30366,315
256848,30639,315
261750,31119,315
268008,32014,320
275003,32796,320
282283,33526,320
289174,34191,320
