confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,1,0
5,1,0
6,1,0
7,1,0
17,1,0
28,1,0
29,1,0
38,2,0
49,2,0
63,2,0
77,3,0
96,3,0
115,4,0
143,4,0
170,5,1
225,6,1
275,11,1
345,23,1
402,25,1
479,26,1
556,33,1
617,36,1
654,39,1
708,44,1
791,48,1
919,59,1
1021,70,1
1120,80,2
1184,90,14
1275,93,14
1374,97,20
1448,107,27
1545,111,29
1661,118,32
1763,126,32
1888,126,32
2024,127,39
2283,130,39
2564,135,43
2685,137,44
2855,141,49
3046,143,49
3209,145,51
3446,149,68
3568,155,68
3758,158,69
3897,159,69
4065,161,73
4120,162,73
4252,165,73
4321,168,73
4423,170,79
4569,171,81
4729,173,81
4903,174,81
5053,179,81
5219,181,82
5408,183,89
5548,183,89
5711,186,89
5910,186,89
6063,188,89
6281,188,89
6418,188,89
6512,188,91
6607,190,93
6652,190,93
6741,192,93
6870,192,93
6952,192,93
7023,193,93
7133,194,95
7211,196,95
7332,197,95
7406,198,95
7433,199,95
7532,200,95
7577,202,95
7601,202,97
7643,202,98
7714,202,98
7780,204,98
7807,205,98
7833,205,98
7866,206,98
7922,206,98
8003,208,98
8071,208,98
8151,208,98
8224,208,98
8302,208,98
8437,210,98
8508,211,98
8537,211,98
8610,212,98
8692,212,98
8793,212,98
8885,212,98
8931,212,98
8997,213,98
9074,213,98
9613,213,98
9839,213,98
9977,214,98
10172,214,98
10344,214,98
10907,216,98
11338,217,98
11633,218,98
11877,220,98
12052,221,98
12290,225,98
12533,228,98
12636,228,98
12969,229,98
13288,230,98
13822,232,98
14215,235,98
14379,237,98
14607,240,98
14771,242,98
15079,242,98
15328,243,98
