confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
7,0,0
7,0,0
8,0,2
8,0,2
8,0,2
11,0,2
11,0,2
11,0,2
14,0,3
14,0,3
14,0,3
14,0,5
16,0,5
16,0,5
16,0,7
16,0,7
16,0,7
16,0,7
16,0,7
16,0,8
16,0,8
16,0,10
16,0,10
16,0,10
16,0,10
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,11
16,0,13
16,0,13
16,0,13
16,0,13
16,0,13
16,0,13
16,0,13
16,0,13
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
16,0,14
18,0,14
19,0,14
20,0,14
21,0,14
21,0,14
21,0,14
22,0,14
22,0,14
23,0,14
23,0,14
24,0,14
25,0,14
25,0,15
25,0,15
25,0,15
25,0,15
29,0,15
29,0,15
31,0,15
31,0,15
31,0,15
31,0,15
31,0,15
32,0,15
32,0,15
32,0,19
34,0,19
36,0,19
39,0,19
45,0,19
46,0,19
55,0,19
63,0,19
72,0,19
76,0,19
102,0,19
121,0,19
136,0,19
183,0,19
196,0,19
205,0,19
285,0,19
293,0,19
350,0,19
375,0,19
412,0,19
485,0,19
539,0,19
593,0,19
615,0,24
668,1,24
