confirmed,death,recover
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,6
6,0,6
6,0,6
9,0,6
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,3
9,0,5
12,0,5
14,0,5
16,0,5
16,0,5
16,0,12
30,0,12
31,0,12
31,0,12
31,0,12
43,0,12
45,0,22
48,0,22
49,0,22
49,0,22
52,0,33
52,0,33
54,0,33
57,0,33
57,0,33
59,0,44
59,0,44
75,0,44
75,0,44
82,0,44
99,0,44
101,0,44
102,0,44
110,0,46
110,0,46
134,0,46
217,0,46
250,0,46
249,0,46
267,0,46
291,1,54
295,2,54
375,2,54
402,2,54
427,2,54
457,3,54
516,3,59
584,3,59
603,3,59
682,4,59
772,4,59
886,4,60
1042,5,60
1212,6,60
1401,6,60
1572,8,60
1811,8,60
2099,8,60
2300,9,60
2634,10,60
2912,11,61
3235,13,61
3448,13,61
3762,14,61
4086,15,61
4364,15,61
4614,15,61
5062,16,61
5335,18,61
5760,19,61
6211,19,62
6591,19,62
7177,20,62
7848,22,62
8274,22,62
8605,22,62
9026,23,62
9561,23,62
10099,24,62
10728,24,62
11162,26,62
11755,27,62
12309,28,62
12772,28,62
13248,29,62
13564,29,62
14046,30,62
14519,31,62
15259,32,62
15491,34,63
15784,34,63
15964,35,63
16168,35,63
16423,35,63
16531,35,63
16649,35,63
