confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,2
1,0,2
1,0,2
1,0,2
1,0,2
1,0,2
2,0,2
2,0,9
2,0,9
2,0,9
2,0,9
2,0,9
2,0,9
2,0,9
3,0,9
8,0,12
8,0,12
12,0,12
22,0,12
30,0,17
40,1,17
44,1,17
51,1,17
65,1,23
70,1,23
89,1,23
111,1,23
131,2,29
135,2,34
174,2,34
184,2,57
210,4,57
214,4,61
232,5,61
238,5,61
254,6,67
276,6,72
288,7,109
305,7,109
318,10,109
323,10,109
343,10,124
373,11,130
407,12,131
442,13,176
493,17,176
542,19,176
627,21,233
665,22,238
665,22,238
873,28,238
981,31,307
1095,32,325
1182,35,329
1273,40,333
1337,40,364
1532,44,364
1728,51,364
1932,58,495
2170,68,495
2388,85,750
2558,87,750
2802,93,816
2950,98,858
3145,103,888
3526,107,980
3912,117,1025
4151,128,1068
4399,143,1117
4641,150,1250
4787,158,1250
4971,164,1289
5162,167,1303
5450,171,1350
5621,176,1436
5959,182,1465
6175,191,1496
6401,192,1574
6677,200,1661
7016,211,1821
7261,221,1821
7526,221,1848
7839,226,1933
8068,233,1933
8344,249,2067
8733,254,2177
8915,259,2177
9302,261,2396
9855,273,2396
10162,287,2682
10578,299,2682
10819,314,2812
11166,315,2845
11516,323,3451
11844,333,3451
12233,342,3451
12486,354,3451
12801,361,3793
13464,365,4152
13873,382,5640
14554,387,6623
15181,399,7489
15682,407,7530
16085,420,8454
16658,424,9533
17148,455,11089
17735,469,11797
18480,475,13264
19147,487,13974
19808,506,14780
20244,518,15552
20919,525,16408
21371,533,17279
22020,542,17972
22614,549,18520
23298,554,19482
24077,558,20363
24567,565,21200
25133,573,22422
25694,590,23425
26484,603,24162
27110,616,25318
27564,628,26169
28167,634,26968
28711,645,27917
29286,654,29146
29789,669,31000
30249,684,32005
30748,689,33021
31323,709,34225
