confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,1
3,0,1
3,0,1
7,0,2
7,0,2
7,0,2
14,0,2
14,0,2
14,0,2
18,0,2
26,0,2
35,0,13
48,0,13
67,0,13
85,0,5
115,1,5
136,2,18
148,2,21
177,3,21
201,3,23
219,3,29
241,4,29
259,6,76
285,7,76
329,9,94
354,11,125
384,11,126
430,12,131
483,17,211
555,18,259
570,23,429
599,26,467
617,29,572
663,30,727
711,32,762
760,34,1028
828,34,1095
854,38,1378
908,44,1446
974,45,1645
1081,46,1765
1117,49,1832
1170,49,1868
1207,51,1970
1225,54,2073
1231,55,2156
1259,56,2527
1300,56,2755
1326,57,2866
1367,59,2936
1386,61,3029
1399,65,3233
1421,71,3425
1442,73,4315
1465,77,4715
1494,81,4817
1506,82,5114
1511,84,5635
1518,85,5801
1526,86,6464
1539,88,6464
1572,89,7530
1586,90,7809
1622,91,8063
1642,91,8555
1664,91,8812
1674,92,8899
1694,95,9695
1723,95,10880
1740,97,10880
1762,98,11341
1792,101,11922
1817,104,12489
1839,106,13101
1858,110,14155
1898,111,15201
1921,112,16653
1941,113,17198
1978,113,17482
1999,113,18314
2014,116,19142
2039,119,20231
2077,121,22305
2129,126,24131
2164,131,25271
2226,133,26083
2315,140,27110
2391,141,28923
2492,145,30128
2611,147,31198
2790,149,32581
2915,151,33465
3025,153,34355
3152,156,35018
3239,157,36308
3364,164,36308
3538,169,40247
3701,171,40247
3895,179,50056
4057,188,53721
4157,193,56390
4299,201,58437
4482,210,59215
4664,216,61383
4820,222,63504
5005,233,67892
5106,238,71458
5196,247,73471
5311,251,77754
5445,259,81307
5595,265,84168
5758,268,86906
5906,277,92624
6080,286,95407
6209,298,98503
6334,302,100802
6454,306,104694
6625,321,113623
6787,328,113623
6932,334,125094
7046,341,131649
7124,346,134957
7244,351,140965
7406,359,145311
7572,362,149092
7777,368,153134
