confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
6,0,0
15,0,0
19,0,0
25,0,0
32,0,0
56,0,0
87,0,0
108,0,0
147,0,0
176,0,0
205,0,0
400,0,0
598,0,0
702,0,0
996,0,0
1090,3,0
1221,3,0
1333,3,0
1463,3,0
1550,6,0
1746,7,0
1914,7,0
2118,7,0
2385,7,0
2621,10,0
2863,12,1
3084,14,1
3369,14,2
3755,19,2
4015,23,2
4284,25,4
4445,32,4
4641,39,9
4863,44,9
5147,50,9
5370,59,10
5550,62,13
5687,71,13
5865,76,13
6086,89,14
6086,101,16
6211,108,16
6314,113,16
6409,119,17
6525,128,23
6603,134,29
6623,139,61
6740,150,72
6896,152,75
6937,161,98
7036,164,122
7078,165,140
7156,181,165
7191,182,204
7338,187,231
7401,194,271
7463,199,319
7499,201,338
7527,201,338
7599,205,455
7660,206,455
7710,207,527
7738,210,576
7783,210,622
7809,211,641
7847,211,641
7904,214,641
7955,215,823
7996,216,859
8034,217,886
8070,218,886
8099,219,4501
8105,219,4687
8132,224,4687
8157,228,6021
8175,229,6067
8196,232,6080
8219,232,6080
8237,232,6080
8249,232,6081
8257,233,6081
8267,233,6194
8281,234,6194
8309,235,6245
8332,235,6275
8346,235,6279
8352,235,6279
8364,235,6279
8383,235,6379
8401,235,7379
8411,236,7379
8422,236,7540
8437,236,9414
8440,236,9514
8446,236,9514
8455,237,9514
8477,237,9519
8504,238,9619
8522,238,9719
8531,238,10118
8547,238,10218
8561,239,10401
8576,239,10561
8594,239,10977
8608,242,10977
8620,242,13759
8628,242,13759
8631,242,13766
8647,242,13766
8660,242,13774
8692,243,13774
8708,244,13782
8726,244,14359
8742,244,14359
8745,244,14359
8751,248,14664
8772,248,14694
8788,249,14794
8788,249,14800
8832,249,15270
8846,249,15370
8855,249,15470
8862,249,15595
8879,250,15745
8896,251,15945
8902,251,16445
8921,251,16945
8926,251,17761
8930,251,17986
8936,251,18036
8947,251,18726
8950,251,19469
8965,252,20437
8974,252,21426
