confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
4,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
16,0,0
19,0,0
20,0,0
28,0,0
31,0,0
53,0,0
136,0,0
236,0,0
299,0,0
454,2,0
501,3,0
730,3,0
776,5,0
875,6,0
972,7,0
1063,8,0
1201,9,0
1373,11,0
1495,12,1
1597,14,1
1717,21,1
1938,26,1
2118,27,1
2421,34,1
2686,40,2
2818,41,6
3157,47,12
3766,53,12
4035,57,12
4263,61,15
4489,65,15
4695,66,18
5011,86,18
5230,91,18
5496,93,22
5837,96,22
6383,111,22
6919,128,23
7025,135,30
7638,143,30
8348,168,35
8418,176,41
9565,201,46
10076,212,53
11155,237,62
11940,253,67
12723,269,78
13328,281,85
13915,292,85
14612,312,93
15525,343,102
16817,385,102
18114,417,113
19103,440,115
20084,457,119
20941,476,126
22049,514,130
24073,564,135
24644,585,142
26435,599,148
28736,636,152
30334,659,155
32081,706,165
34336,737,170
35298,761,173
35788,770,182
38799,834,184
38799,834,193
40151,873,198
42125,903,202
43966,939,219
45898,985,230
48091,1017,242
50694,1067,256
52437,1101,264
54601,1133,298
56349,1167,307
57705,1197,344
59151,1225,382
61227,1260,392
64028,1317,402
66457,1395,413
69496,1483,466
72460,1543,477
76398,1621,488
80463,1688,498
85264,1770,511
89249,1838,511
93983,1935,516
98943,2002,532
103671,2067,575
108317,2172,603
113702,2255,604
119536,2356,619
125933,2463,624
125933,2463,633
132405,2551,647
144478,2729,650
148921,2839,673
154760,2975,699
160118,3093,711
165062,3229,717
171666,3382,741
176617,3501,791
181088,3590,871
185034,3695,903
188926,3755,926
192970,3903,944
195745,3962,976
198883,4035,1013
202955,4118,1045
206512,4167,1065
209337,4304,1080
213470,4395,1089
217809,4473,1102
221896,4551,1108
221896,4551,1113
225283,4619,1134
231818,4762,1166
234509,4839,1180
237489,4922,1193
240848,4983,1212
243599,5058,1229
246351,5123,1256
