confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
5,1,0
6,1,0
10,1,0
20,1,0
33,1,0
49,1,0
52,2,0
64,5,0
111,8,4
140,11,4
142,12,4
187,12,4
202,19,4
217,17,4
230,18,10
307,19,27
380,25,33
462,33,33
552,35,41
636,38,41
707,45,43
803,54,43
1075,68,45
1418,71,48
1546,78,51
2084,88,62
2311,96,71
2633,107,72
3018,136,93
3094,144,109
3246,152,123
3660,163,131
3764,177,150
3870,182,178
4076,203,206
4195,221,227
4428,247,247
4648,297,275
4932,315,334
5223,335,373
5453,349,406
5660,362,415
5878,387,464
6087,397,510
6259,409,518
6459,428,555
6599,437,614
6710,446,689
6981,462,750
7192,477,809
7294,494,929
7579,501,1012
7777,511,1066
7958,530,1134
8212,558,1243
8488,568,1372
8772,579,1436
8928,603,1534
9223,607,1664
9485,623,1810
9684,637,1924
10004,658,2070
10343,685,2286
10463,696,2370
10610,704,2449
10794,719,2753
11086,726,2840
11350,751,3019
11618,772,3143
11876,790,3356
12091,806,3546
12305,817,3788
12513,824,4370
12718,831,4899
12942,837,5634
13221,842,6600
13434,846,7288
13597,857,7893
13777,863,8513
14035,868,9170
14319,873,10363
14669,886,11844
15049,904,13283
15588,921,15399
16634,942,20604
17224,950,25839
18086,957,30290
18638,960,33437
18997,966,36036
19748,974,37542
20382,984,39468
20626,987,40935
21340,994,42527
21895,1003,44338
22474,1011,45935
22992,1017,47569
23732,1027,49413
24175,1036,51331
24787,1052,53296
25392,1074,55252
25930,1088,56898
26420,1098,58681
26781,1103,60461
27238,1108,62172
27799,1116,63642
28459,1130,65409
29400,1150,66763
30052,1169,68319
30682,1177,69956
31825,1186,71501
32295,1204,73083
33069,1212,74544
34073,1224,76072
34803,1236,77225
35455,1244,78702
36438,1255,80170
37514,1266,81564
38511,1270,83965
38805,1274,86597
40336,1280,88583
41830,1290,90387
44254,1297,92284
46333,1303,93898
47873,1309,94903
50359,1314,96107
51754,1314,97272
52914,1360,98233
