confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
5,0,0
7,0,0
8,0,0
8,0,0
17,0,0
17,0,0
19,0,0
36,0,0
40,0,0
41,0,0
50,0,0
54,0,0
60,0,1
70,0,1
70,0,1
75,0,1
82,0,1
84,0,1
89,0,1
102,0,1
104,0,1
105,0,1
105,0,1
110,0,1
110,0,1
118,0,1
120,0,1
126,0,1
127,0,1
134,0,1
136,0,1
138,0,1
143,0,1
144,0,1
147,0,1
147,0,1
150,0,2
153,0,3
154,0,3
176,0,5
183,0,5
191,0,5
207,0,8
212,0,8
225,0,8
243,0,8
249,0,8
255,0,8
259,0,8
261,0,9
261,0,9
268,0,9
271,0,9
273,0,9
280,0,9
284,0,9
285,0,9
286,0,12
287,0,12
287,0,12
287,0,14
289,0,14
292,0,14
297,0,14
308,0,14
314,0,14
320,0,14
321,0,14
325,0,14
327,0,14
336,0,14
339,0,14
346,0,14
349,0,14
355,0,14
359,1,15
370,1,15
377,1,15
384,2,15
397,2,15
410,2,15
420,2,15
431,2,15
439,2,16
451,2,16
463,2,25
476,2,25
494,2,25
510,2,25
541,2,25
582,2,25
612,2,25
636,2,25
639,2,25
646,2,26
661,2,26
702,2,26
728,2,26
787,2,26
798,2,27
830,2,27
850,2,29
858,2,29
878,2,29
900,2,29
1001,2,29
1025,2,29
1042,3,29
1063,3,29
1081,3,29
1092,3,29
1105,3,29
1113,3,29
1172,3,29
1194,3,29
1210,3,29
1252,3,29
