confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,2
1,0,6
1,0,6
1,0,6
1,0,8
1,0,16
1,0,16
1,0,16
1,0,28
1,0,29
1,0,33
1,0,35
1,0,37
1,0,66
1,0,115
1,0,165
1,0,264
2,0,328
3,0,351
7,0,420
7,0,488
7,0,551
8,0,615
8,0,631
12,0,666
12,0,685
12,0,720
12,0,761
12,0,805
12,0,889
12,0,931
12,0,990
12,0,1049
12,0,1329
12,0,1398
12,0,1490
12,0,1640
13,0,1812
13,0,1925
14,0,2049
14,0,2215
14,0,2357
15,0,2531
15,0,2784
16,0,2953
16,0,3163
16,0,3555
16,0,3765
16,0,4134
17,0,4476
17,0,5431
17,0,6783
17,0,7798
17,0,9120
17,0,10144
17,0,11457
17,0,12737
17,0,15257
17,0,17622
17,0,19051
17,0,21869
17,0,23666
17,0,25722
17,0,28748
17,0,31634
18,0,33478
18,0,36040
18,0,39003
18,0,41236
18,0,43520
18,0,45668
18,0,48450
18,0,51022
25,0,54553
26,0,57013
26,0,58883
26,0,62442
26,0,64306
26,0,65790
26,0,68159
26,0,68965
26,0,70616
26,0,71791
27,0,72817
27,0,74524
27,0,76339
27,0,77954
27,0,80019
27,0,81029
27,0,82548
27,0,84720
27,0,87890
29,0,89540
29,0,91662
29,0,93915
29,0,95764
29,0,98917
29,0,101130
29,0,105175
29,0,109885
29,0,112797
29,0,117882
29,0,120471
29,0,122128
29,0,124755
29,0,127118
29,0,130766
29,0,132760
29,0,137669
29,0,140614
29,0,143256
29,0,145236
29,0,149634
29,0,154839
29,0,158050
29,0,161096
29,0,163026
