confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
8,0,0
10,1,0
16,1,0
21,1,0
21,1,0
23,1,0
36,1,1
36,1,1
51,2,1
62,2,1
69,3,1
80,5,1
80,5,1
101,5,1
109,7,2
109,7,2
119,11,2
119,11,2
144,14,2
144,20,5
175,20,5
187,20,5
187,21,8
208,21,9
208,21,9
223,21,11
224,22,18
224,22,27
230,25,27
236,26,40
236,26,45
245,30,55
245,30,66
259,32,72
266,32,82
266,32,92
279,34,105
279,34,113
333,34,123
344,34,137
356,35,152
356,35,171
356,35,178
371,36,183
372,36,190
426,38,194
435,39,198
455,39,211
461,39,220
462,39,235
476,40,242
488,40,253
501,40,257
513,40,262
513,40,276
538,41,283
538,41,284
553,41,296
563,41,315
569,41,334
580,41,356
580,41,368
582,41,372
582,41,415
589,41,470
608,41,493
622,41,562
623,41,611
637,41,643
628,41,650
628,41,715
638,41,742
643,41,782
648,41,842
652,41,890
653,41,949
654,41,973
654,41,1076
655,41,1133
656,41,1186
658,41,1251
661,41,1311
665,42,1416
665,42,1456
666,42,1515
666,42,1565
667,42,1586
670,42,1686
671,42,1738
671,42,1761
671,42,1801
671,42,1858
672,42,1954
674,42,2063
678,42,2162
680,42,2276
680,42,2512
680,42,2588
687,42,2699
688,42,2809
691,42,2885
691,42,2994
694,42,3100
694,42,3228
694,42,3344
694,42,3424
694,42,3525
696,42,3606
696,42,3716
696,42,3788
696,42,3859
696,42,3919
697,42,3953
698,42,4046
698,42,4072
698,42,4162
698,42,4193
698,42,4255
698,42,4291
698,42,4341
698,42,4431
698,42,4545
698,42,4599
698,42,4666
698,42,4713
698,42,4870
698,42,4870
698,42,5023
698,42,5097
699,42,5169
699,42,5311
