confirmed,death,recover
0,0,0
1,0,0
3,0,0
3,0,0
4,0,0
5,0,0
7,0,0
7,0,0
10,0,0
13,0,0
16,0,0
18,0,0
18,0,0
24,0,0
28,0,0
28,0,0
30,0,0
33,0,0
40,0,0
45,0,0
47,0,0
50,0,0
58,0,0
67,0,0
72,0,0
75,0,0
77,0,0
81,0,0
84,0,0
84,0,0
85,0,0
85,0,0
89,0,0
89,0,0
91,0,0
93,0,0
93,0,0
93,0,0
102,0,0
106,0,0
108,0,0
110,0,0
110,0,0
117,0,0
130,0,0
138,0,0
150,0,0
150,0,0
160,0,0
178,0,0
178,0,0
200,0,0
212,0,0
226,0,0
243,0,0
266,0,0
313,0,0
345,0,0
385,0,0
432,2,0
455,2,0
509,2,0
558,2,0
631,2,10
683,2,10
732,2,10
802,2,10
844,3,10
879,3,10
926,3,10
1000,3,10
1049,4,70
1114,5,70
1189,6,79
1309,6,79
1375,6,102
1481,6,102
1623,6,120
1910,6,128
2108,7,137
2299,8,148
2532,8,150
2918,9,152
3252,10,152
3699,10,165
4427,10,174
5050,11,174
5992,11,190
6588,11,192
8014,11,193
9125,11,197
10141,12,205
11178,12,211
12075,12,211
12693,12,219
13624,12,221
14423,14,221
14951,14,223
15641,14,230
16169,15,233
17101,16,233
17548,17,239
18205,18,241
18778,18,241
19410,18,244
20198,20,246
20939,20,247
21707,20,252
22460,20,255
23336,20,256
23822,21,256
24671,21,259
25346,21,260
26098,21,267
26891,21,270
27356,22,272
28038,22,273
28343,22,1335
28794,22,1338
29364,22,1340
29812,23,1340
30426,23,1340
31068,23,1340
31616,23,1340
31960,23,1346
32343,23,1346
32876,23,1354
33249,23,1356
33860,23,1357
34366,23,1357
34884,23,1358
35292,24,1358
35836,24,1358
36405,24,1358
36922,24,1359
37183,24,1359
37527,25,1359
37910,25,1359
38296,25,1359
38514,25,1359
38965,25,1359
39387,25,1359
39850,25,1359
40197,26,1359
40604,26,1359
40818,26,1359
40969,26,1359
41216,26,1359
41473,26,1359
41615,26,1359
41833,26,1359
42095,26,1376
42313,26,1376
42432,26,1376
42623,26,1376
42736,26,1376
42955,26,1376
43246,26,1376
43459,26,1384
43661,26,1384
43907,26,1384
44122,26,1384
44310,26,1384
44479,26,1384
44664,26,1384
44800,26,1384
44983,26,1384
45140,26,1423
45298,26,1429
45423,26,1429
45614,26,1429
