confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
3,0,0
7,0,0
10,0,0
16,0,0
32,0,0
44,0,0
54,0,0
63,0,0
72,0,0
105,1,0
123,1,0
137,1,0
178,1,0
185,0,0
186,0,0
204,0,0
216,0,0
226,0,0
269,0,0
292,0,0
314,0,0
336,0,0
363,0,1
400,1,1
426,1,1
450,1,1
471,1,1
485,1,1
534,2,1
581,2,1
682,2,1
701,2,1
715,2,1
728,2,1
742,2,2
769,2,2
835,2,2
863,6,2
977,8,2
1049,9,2
1089,11,2
1161,12,3
1173,13,4
1199,14,4
1244,14,4
1325,15,8
1360,17,8
1373,17,8
1379,18,10
1381,18,10
1384,20,19
1391,22,20
1396,23,31
1403,23,31
1407,24,34
1408,24,44
1413,25,61
1421,25,75
1429,25,87
1445,26,106
1455,26,106
1455,26,110
1457,26,118
1457,26,121
1465,27,126
1469,27,130
1477,27,135
1480,27,135
1493,28,148
1494,28,152
1495,28,163
1495,28,178
1496,28,188
1502,28,204
1503,28,204
1504,28,204
1509,28,204
1511,28,235
1513,28,253
1515,28,265
1520,28,310
1520,28,310
1521,28,327
1521,28,348
1522,28,361
1522,28,361
1525,28,406
1526,28,418
1526,28,418
1528,28,431
1528,28,441
1530,28,470
1531,28,489
1533,28,506
1541,28,532
1542,28,532
1545,28,559
1548,28,577
1552,28,622
1552,28,649
1561,28,685
1562,28,724
1576,28,724
1586,28,751
1587,28,782
1588,28,818
1589,28,818
1607,28,829
1630,28,868
1643,28,868
1657,28,868
1664,28,887
1665,28,910
1667,28,910
1687,28,932
1700,28,951
1720,28,951
1749,28,973
1764,28,1014
1765,28,1051
1767,28,1096
1798,28,1147
1851,28,1209
1870,28,1209
