confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
6,0,0
13,0,0
15,0,0
32,0,0
45,0,0
84,0,0
120,0,0
165,1,0
222,2,0
259,3,0
400,5,0
500,10,0
673,17,0
1073,28,0
1695,35,0
2277,54,0
2277,55,0
5232,133,0
6391,195,0
7798,289,0
9942,342,0
11748,533,0
13910,623,0
17963,830,0
20410,1043,0
25374,1375,0
28768,1772,0
35136,2311,0
39885,2808,0
49515,3647,0
57786,4365,0
65719,5138,0
73235,5982,0
80110,6803,0
87956,7716,0
95923,8464,1
104118,9387,2
112065,10348,2
119199,11198,2
126168,11947,2
131646,12641,2
136675,13341,2
141942,14045,2
148220,14792,2
153222,15447,2
158273,16081,2
163027,16606,2
166831,17209,2
170099,17756,4
172541,18056,4
177644,18708,4
184948,19315,4
190839,20002,4
191726,20043,6
198674,20453,6
200210,20852,8
204178,21282,8
208389,21717,12
213024,22157,14
202990,22524,14
205905,22902,19
207634,23190,20
209465,23521,21
210773,23822,31
212917,24275,32
213435,24543,39
215216,24543,46
216582,25100,52
217466,25264,52
218011,25428,61
219329,25613,70
220325,25857,80
221447,26070,92
222857,26299,102
223578,26478,119
224350,26621,149
227436,26744,162
228030,26920,173
228691,27104,198
229540,27321,198
230183,27459,205
230698,27563,222
230698,27563,222
231606,27709,247
232037,27778,286
232555,27888,286
233037,27940,309
234824,28628,372
235290,28678,424
235772,28752,458
235400,26834,503
236259,27117,503
236259,27117,749
237906,27119,749
238564,27121,816
239228,27125,1272
239479,27127,1423
239638,27127,1522
239932,27127,1625
240326,27128,1711
240660,27133,1825
240978,27134,1924
241310,27135,2014
241550,27136,2014
241717,27136,2059
241966,27136,2127
242280,27136,2202
242707,27136,2278
243209,27136,2416
243605,27136,2556
243928,27136,2610
244109,27136,2720
244328,27136,2820
244683,27136,2966
245268,27136,2966
245575,28315,3086
245938,28322,3325
246272,28323,3325
246504,28324,3460
246752,28325,3699
247086,28327,3699
247486,28330,3806
247905,28338,4014
248469,28341,4014
248770,28343,4014
248970,28346,4014
249271,28355,4014
249659,28364,4606
250103,28368,4606
250545,28385,4624
250545,28385,4673
250545,28385,4673
251789,28388,4899
252130,28392,5034
252513,28396,5074
253056,28401,5200
253908,28403,5277
