confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
7,0,0
7,0,0
12,0,0
14,0,0
15,0,0
21,0,0
35,0,0
94,0,0
101,0,0
161,0,0
203,0,0
248,0,0
355,0,0
500,1,0
599,1,0
814,1,0
961,2,0
1022,3,0
1103,6,0
1190,7,0
1279,10,0
1439,11,0
1639,16,0
1763,20,0
1934,21,0
2046,25,0
2286,36,0
2526,62,0
2840,77,0
3069,105,0
3447,105,0
3700,110,0
4028,146,0
4435,180,0
4947,239,0
5568,308,0
6131,358,0
6443,373,2
6830,401,2
7206,477,2
7693,591,3
8419,687,4
9141,793,4
9685,870,4
10151,887,5
10483,899,5
10948,919,5
11445,1033,5
11927,1203,5
12540,1333,5
13216,1400,5
13822,1511,5
14385,1540,5
14777,1580,5
15322,1765,6
16004,1937,6
16755,2021,6
17567,2152,6
18177,2192,11
18640,2194,14
18926,2274,19
19621,2355,21
20302,2462,21
21092,2586,21
21520,2653,27
22082,2669,27
22317,2679,27
22721,2769,27
23216,2854,27
23918,2941,27
24623,3040,27
25265,3175,29
25921,3220,29
26322,3225,29
26670,3256,29
27272,3313,29
27909,3460,29
28582,3529,29
29207,3646,36
29677,3674,36
30143,3679,36
30377,3698,36
30799,3743,36
31523,3831,36
32172,3871,36
32809,3925,37
33188,3992,37
33459,3998,41
33843,4029,41
34440,4125,41
35088,4220,43
35727,4266,43
36476,4350,43
37113,4395,43
37542,4395,46
37814,4403,46
38589,4468,50
40803,4542,53
41883,4562,53
42939,4639,53
43887,4656,58
44730,4659,58
45133,4694,62
45924,4717,62
46814,4795,68
48288,4814,68
49684,4854,68
50931,4874,71
51614,4874,74
52383,4891,78
53323,4939,78
54562,5041,78
56043,5053,78
58076,5105,78
58591,5109,83
58848,5111,83
58932,5122,83
60837,5161,94
62324,5209,94
63890,5230,96
65137,5280,102
65137,5280,102
65137,5280,102
67667,5310,102
68451,5333,105
69692,5370,110
70639,5411,113
71419,5420,123
71419,5420,123
71419,5420,126
73061,5433,126
73344,5447,126
73858,5482,126
74333,5500,126
74898,5526,126
