confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
9,0,1
16,0,1
16,0,1
18,0,1
20,0,1
23,0,1
23,0,1
25,1,1
25,1,1
25,1,1
30,1,1
34,1,10
36,2,10
39,2,17
40,3,17
41,3,17
44,3,20
58,3,23
65,3,23
70,3,23
73,3,24
76,3,25
76,3,25
76,3,29
77,3,29
77,3,32
81,3,35
81,5,45
83,5,48
84,5,49
84,5,52
84,6,53
86,6,56
88,6,56
88,6,59
90,6,59
96,6,62
98,6,62
98,6,62
99,6,63
109,7,64
116,9,65
123,9,66
123,9,66
124,9,67
126,9,74
128,9,74
128,9,77
135,9,85
145,10,85
153,10,87
174,11,89
181,11,89
199,11,92
219,11,96
238,11,96
263,11,96
298,11,99
301,11,104
330,12,106
338,12,107
340,12,110
354,12,118
363,12,121
373,12,133
381,12,141
386,13,161
391,13,177
395,13,183
422,13,197
428,13,202
433,13,206
442,13,211
443,13,215
445,13,230
452,13,236
465,13,239
485,13,240
487,13,240
495,13,248
497,13,251
501,13,260
522,13,265
524,13,271
525,13,279
530,13,291
530,13,291
531,13,299
537,13,344
544,13,353
547,13,353
555,13,361
561,13,366
569,13,375
569,13,380
576,13,384
583,14,392
588,14,394
591,14,395
615,14,396
642,14,401
643,14,401
650,14,402
661,14,414
667,14,424
671,14,424
676,15,432
680,15,447
680,15,450
689,15,467
695,15,475
704,15,483
710,15,494
