confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
5,0,0
7,0,0
7,0,0
16,0,0
18,0,0
18,0,0
20,0,0
24,0,0
29,0,0
39,1,0
54,1,0
60,1,0
75,3,1
89,3,1
114,4,1
173,5,2
197,6,2
227,6,2
278,8,2
312,8,2
312,8,3
394,10,3
423,12,5
455,14,5
495,18,5
553,18,5
574,22,5
596,22,5
623,23,25
628,24,25
643,25,25
671,25,25
685,28,43
707,31,43
726,34,43
747,34,43
780,35,43
822,37,43
864,37,43
864,37,43
879,38,43
884,38,148
884,38,148
909,38,190
918,38,190
922,38,194
939,38,207
949,38,216
967,39,279
975,40,279
980,40,294
994,41,305
998,41,316
1009,42,323
1013,42,328
1018,43,406
1022,43,482
1025,43,591
1026,44,600
1030,45,638
1032,45,660
1032,45,700
1032,45,727
1032,45,740
1032,45,759
1032,45,770
1035,45,802
1037,45,807
1037,45,816
1043,46,819
1044,47,826
1045,47,862
1046,47,883
1048,47,903
1048,48,914
1051,48,917
1051,48,919
1051,48,929
1051,48,929
1068,48,938
1071,48,946
1076,48,950
1077,48,960
1084,48,964
1086,48,965
1087,49,965
1087,49,968
1087,49,969
1087,49,977
1087,49,982
1087,49,982
1087,49,982
1087,49,983
1087,49,989
1093,49,995
1094,49,995
1096,49,998
1110,49,999
1125,49,1002
1128,50,1004
1132,50,1006
1146,50,1014
1156,50,1017
1157,50,1020
1159,50,1020
1159,50,1023
1160,50,1023
1162,50,1023
1164,50,1023
1168,50,1025
1169,50,1029
1172,50,1029
1174,50,1031
1175,50,1038
1178,50,1039
1181,50,1045
1186,50,1046
1188,50,1048
1199,50,1049
1205,50,1049
1221,50,1050
1231,50,1055
1240,50,1067
