confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
6,0,0
8,0,0
29,0,0
50,0,0
79,0,0
94,0,0
110,0,0
135,0,0
158,0,0
162,0,0
189,0,0
217,0,0
238,0,0
274,0,0
303,1,0
309,1,0
320,1,0
338,1,41
350,2,62
369,4,68
386,4,86
400,5,93
406,6,104
415,6,123
424,7,150
456,7,192
473,7,206
494,7,214
501,7,224
480,7,231
483,8,248
492,8,260
493,9,272
502,9,286
508,9,294
517,9,298
528,10,298
535,10,313
543,12,324
549,12,337
557,12,354
563,12,369
596,14,370
606,15,375
620,15,386
625,15,394
630,15,412
643,17,417
648,17,435
652,17,440
655,17,442
657,17,447
670,17,468
673,17,486
684,17,492
694,18,506
702,18,513
707,19,517
711,19,523
717,19,532
719,19,545
724,19,547
732,19,553
733,19,558
734,20,564
737,20,569
738,20,579
746,20,588
749,20,594
753,20,603
764,22,616
769,22,618
787,22,629
789,22,638
803,22,650
811,22,654
816,22,680
821,22,682
823,22,685
825,23,689
826,23,691
828,23,698
832,23,709
834,23,721
845,23,726
845,23,730
845,23,738
846,23,754
847,23,758
847,23,772
847,23,780
847,23,784
848,23,788
848,23,792
849,24,801
849,24,810
850,24,814
853,24,814
859,25,815
876,25,814
882,25,815
885,25,815
902,26,815
907,26,818
919,26,818
924,26,818
929,27,818
932,27,822
936,27,824
943,28,825
947,28,828
952,28,837
955,28,840
956,28,849
960,29,858
965,29,865
974,29,871
977,29,878
985,29,886
