confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
6,0,0
10,0,0
15,0,0
23,0,0
33,0,0
43,0,0
43,0,0
46,0,0
50,0,0
60,0,0
75,0,0
88,1,5
104,2,5
144,2,7
149,2,7
172,2,7
181,2,12
205,2,25
227,2,25
266,2,25
342,2,30
457,2,30
520,2,30
545,3,30
582,3,38
624,3,42
767,4,42
865,4,66
998,4,85
1165,4,99
1302,4,107
1349,4,129
1405,4,156
1490,5,194
1565,5,225
1627,5,261
1678,6,357
1716,7,450
1758,7,561
1804,8,621
1862,8,707
1869,8,789
1904,8,892
1939,8,992
2002,9,1096
2039,9,1133
2086,9,1212
2118,9,1271
2149,10,1319
2189,10,1405
2207,10,1501
2233,10,1577
2298,10,1656
2325,10,1775
2349,10,1846
2418,10,1881
2486,10,1988
2519,10,2010
2612,11,2076
2645,11,2136
2686,11,2158
2738,11,2213
2753,12,2247
2791,13,2314
2855,13,2338
2939,13,2372
2964,13,2407
3028,13,2492
3115,13,2532
3164,13,2565
3189,13,2607
3290,14,2636
3369,14,2668
3444,14,2694
3468,14,2728
3546,14,2783
3623,15,2837
3702,15,2859
3760,15,2908
3843,16,3014
3939,16,3087
4007,16,3247
4094,17,3268
4331,17,3354
4440,18,3357
4520,18,3459
4623,19,3532
4741,19,3637
4869,19,3758
4966,19,3874
5080,19,3943
5263,19,4019
5493,19,4096
5682,19,4131
5767,19,4166
5946,19,4273
6153,19,4290
6315,19,4377
6461,19,4450
6662,19,4560
6990,19,4685
7177,20,4877
7427,20,5038
7682,20,5240
7948,22,5329
8222,23,5496
8503,26,5682
8781,26,5847
9078,27,6034
9396,29,6251
9708,31,6425
10020,34,6584
10362,37,6628
10838,41,6811
11092,45,7060
11564,51,7287
12027,54,7530
