confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
10,0,0
17,0,0
33,0,0
36,0,0
42,0,0
42,0,0
70,0,0
70,0,15
77,0,15
84,0,15
91,0,15
107,0,15
107,1,31
119,2,39
119,2,39
135,3,39
135,3,39
143,3,41
146,5,43
153,7,52
155,7,52
159,7,52
165,7,65
165,7,65
167,9,65
171,9,84
171,9,84
175,9,93
181,9,93
189,9,110
189,9,110
197,9,111
204,9,111
204,9,111
227,9,113
256,9,117
256,9,117
285,10,117
288,10,122
311,10,126
318,10,132
323,10,132
325,10,137
329,10,142
329,10,142
331,10,142
333,16,142
335,10,148
345,10,148
357,10,158
357,10,158
361,10,158
379,10,176
381,10,185
388,10,190
402,10,190
414,10,193
422,10,205
423,10,220
423,10,220
455,10,220
459,10,229
504,10,241
541,10,241
618,10,253
749,10,253
824,10,262
882,10,262
944,10,262
1010,10,262
1121,10,262
1177,10,302
1211,11,302
1245,11,302
1325,11,302
1370,14,302
1459,14,302
1510,14,302
1662,17,302
1819,18,334
1952,20,334
2087,20,334
2145,20,334
2316,22,385
2377,22,487
2473,22,487
2632,23,487
2738,23,487
2814,23,487
2879,23,487
2904,24,487
2978,25,835
3062,26,835
3150,27,835
3386,28,835
3483,28,835
3591,30,835
3789,33,835
3917,33,835
4048,35,1327
4187,35,1327
4366,38,1327
4563,39,1327
4779,41,1327
5130,42,1327
5297,44,1649
5530,48,1649
5832,51,1649
6062,54,1649
6273,57,2100
6537,59,2100
6750,62,2100
7169,65,2100
7411,68,2100
7693,71,2100
8008,75,2100
8372,80,2544
8803,83,2671
