confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,0
3,0,0
3,1,0
3,1,0
3,1,0
3,1,0
5,1,0
7,1,0
7,1,0
7,1,0
8,1,0
8,1,0
9,1,0
9,1,0
9,1,0
9,1,0
10,1,0
11,2,0
11,3,0
11,3,0
13,3,0
14,3,0
14,3,0
17,3,0
17,3,0
23,3,1
23,3,1
24,3,2
25,3,2
25,3,2
25,3,2
28,3,2
28,4,2
28,4,2
29,4,2
31,4,2
31,4,2
32,4,5
32,4,5
32,4,5
40,4,5
40,4,5
34,4,5
34,4,5
34,4,5
34,4,5
34,4,5
34,4,5
34,4,9
35,4,9
36,4,9
36,4,9
36,4,9
37,4,12
37,4,13
42,4,13
42,4,13
44,4,17
46,4,18
46,4,18
48,4,18
51,4,18
51,4,18
56,4,18
56,4,25
56,4,25
56,4,25
132,4,25
149,4,28
149,4,28
174,4,29
178,4,29
203,4,29
206,4,29
222,4,29
237,4,31
265,4,33
279,4,33
282,4,34
287,4,46
314,4,46
320,4,49
332,4,51
343,4,51
356,4,54
383,4,54
387,4,54
391,4,62
401,4,63
463,4,63
479,4,63
479,4,63
489,6,64
512,6,64
525,6,64
530,6,123
551,6,128
561,6,135
567,6,142
567,6,142
574,7,152
591,7,162
605,7,166
617,7,173
625,7,176
698,8,181
716,8,181
734,9,197
787,9,201
885,9,206
885,9,206
942,13,320
